0,1,2,3
12701.75,2022-10-13 13:00:00,2022-10-13 14:00:00,True
12924.75,2023-01-06 13:00:00,2023-01-06 15:00:00,True
12906.0,2023-01-06 14:00:00,2023-01-06 15:00:00,True
13023.75,2023-01-04 16:00:00,2023-01-06 18:00:00,True
13019.25,2023-01-04 19:00:00,2023-01-06 18:00:00,True
13002.0,2023-01-05 12:00:00,2023-01-06 18:00:00,True
12998.75,2023-01-06 16:00:00,2023-01-06 18:00:00,True
12994.5,2023-01-06 17:00:00,2023-01-06 18:00:00,True
13031.5,2023-01-06 18:00:00,2023-01-06 19:00:00,True
13225.0,2023-01-11 08:00:00,2023-01-11 09:00:00,True
13453.75,2023-01-20 15:00:00,2023-01-20 16:00:00,True
13515.25,2023-01-18 17:00:00,2023-01-20 18:00:00,True
13508.0,2023-01-20 17:00:00,2023-01-20 18:00:00,True
13627.25,2023-01-25 15:00:00,2023-01-25 16:00:00,True
14326.5,2023-03-07 11:00:00,2023-03-16 14:00:00,True
14319.25,2023-03-07 13:00:00,2023-03-16 14:00:00,True
14318.0,2023-03-07 14:00:00,2023-03-16 14:00:00,True
14308.75,2023-03-09 15:00:00,2023-03-16 14:00:00,True
14295.5,2023-03-16 01:00:00,2023-03-16 14:00:00,True
14289.75,2023-03-16 08:00:00,2023-03-16 14:00:00,True
14262.5,2023-03-16 11:00:00,2023-03-16 14:00:00,True
14261.0,2023-03-16 12:00:00,2023-03-16 14:00:00,True
14251.5,2023-03-16 13:00:00,2023-03-16 14:00:00,True
14564.25,2023-03-28 14:00:00,2023-03-28 19:00:00,True
14555.0,2023-03-28 15:00:00,2023-03-28 19:00:00,True
14550.0,2023-03-28 16:00:00,2023-03-28 19:00:00,True
14528.25,2023-03-28 17:00:00,2023-03-28 19:00:00,True
14523.25,2023-03-28 18:00:00,2023-03-28 19:00:00,True
14567.75,2023-03-28 19:00:00,2023-03-28 20:00:00,True
14589.0,2023-03-28 22:00:00,2023-03-28 23:00:00,True
14594.25,2023-03-28 23:00:00,2023-03-29 00:00:00,True
14608.5,2023-03-29 03:00:00,2023-03-29 04:00:00,True
14629.5,2023-03-28 11:00:00,2023-03-29 05:00:00,True
14628.75,2023-03-28 12:00:00,2023-03-29 05:00:00,True
14624.75,2023-03-29 01:00:00,2023-03-29 05:00:00,True
14621.75,2023-03-29 04:00:00,2023-03-29 05:00:00,True
14757.75,2023-04-26 18:00:00,2023-04-26 20:00:00,True
14741.5,2023-04-26 19:00:00,2023-04-26 20:00:00,True
14793.5,2023-04-27 02:00:00,2023-04-27 04:00:00,True
14792.25,2023-04-27 03:00:00,2023-04-27 04:00:00,True
15006.0,2023-05-04 07:00:00,2023-05-05 13:00:00,True
14990.5,2023-05-05 12:00:00,2023-05-05 13:00:00,True
15026.0,2023-05-05 13:00:00,2023-05-05 14:00:00,True
15079.75,2023-05-10 10:00:00,2023-05-10 11:00:00,True
15179.75,2023-05-12 18:00:00,2023-05-12 19:00:00,True
15242.75,2023-05-15 14:00:00,2023-05-15 15:00:00,True
15394.75,2023-05-17 15:00:00,2023-05-17 16:00:00,True
15590.25,2023-05-23 19:00:00,2023-05-24 20:00:00,True
15588.75,2023-05-24 00:00:00,2023-05-24 20:00:00,True
15586.0,2023-05-24 01:00:00,2023-05-24 20:00:00,True
15585.25,2023-05-24 05:00:00,2023-05-24 20:00:00,True
15566.75,2023-05-24 06:00:00,2023-05-24 20:00:00,True
15564.25,2023-05-24 09:00:00,2023-05-24 20:00:00,True
15553.5,2023-05-24 10:00:00,2023-05-24 20:00:00,True
15538.75,2023-05-24 19:00:00,2023-05-24 20:00:00,True
15745.5,2023-10-27 16:00:00,2023-10-27 17:00:00,False
15904.0,2023-11-01 09:00:00,2023-11-01 12:00:00,True
15894.75,2023-11-01 11:00:00,2023-11-01 12:00:00,True
15965.75,2023-11-01 12:00:00,2023-11-01 13:00:00,True
16100.25,2023-11-01 14:00:00,2023-11-01 18:00:00,True
16093.5,2023-11-01 15:00:00,2023-11-01 18:00:00,True
16067.5,2023-11-01 17:00:00,2023-11-01 18:00:00,True
16135.5,2023-10-25 15:00:00,2023-11-01 19:00:00,True
16127.75,2023-11-01 18:00:00,2023-11-01 19:00:00,True
16212.75,2023-11-01 19:00:00,2023-11-01 22:00:00,True
16224.25,2023-11-01 22:00:00,2023-11-01 23:00:00,True
16254.75,2023-11-02 06:00:00,2023-11-02 07:00:00,True
16273.25,2023-10-24 23:00:00,2023-11-02 08:00:00,True
16271.75,2023-11-02 07:00:00,2023-11-02 08:00:00,True
16318.0,2023-11-02 10:00:00,2023-11-02 11:00:00,True
16424.25,2023-11-03 11:00:00,2023-11-03 12:00:00,True
22565.5,2024-12-18 11:00:00,2024-12-18 13:00:00,False
22568.0,2024-12-18 12:00:00,2024-12-18 13:00:00,False
22347.0,2025-02-21 09:00:00,2025-02-21 14:00:00,False
22358.75,2025-02-21 11:00:00,2025-02-21 14:00:00,False
22362.75,2025-02-21 12:00:00,2025-02-21 14:00:00,False
22413.25,2025-02-21 13:00:00,2025-02-21 14:00:00,False
22262.0,2025-02-20 19:00:00,2025-02-21 15:00:00,False
22286.0,2025-02-21 14:00:00,2025-02-21 15:00:00,False
22082.75,2025-02-13 15:00:00,2025-02-21 17:00:00,False
22096.5,2025-02-13 18:00:00,2025-02-21 17:00:00,False
22146.75,2025-02-21 15:00:00,2025-02-21 17:00:00,False
22166.0,2025-02-21 16:00:00,2025-02-21 17:00:00,False
22040.75,2025-02-13 14:00:00,2025-02-21 18:00:00,False
22043.25,2025-02-21 17:00:00,2025-02-21 18:00:00,False
21882.75,2025-02-23 23:00:00,2025-02-24 14:00:00,False
21907.0,2025-02-24 08:00:00,2025-02-24 14:00:00,False
21945.5,2025-02-24 12:00:00,2025-02-24 14:00:00,False
21963.0,2025-02-24 13:00:00,2025-02-24 14:00:00,False
21775.25,2025-02-24 17:00:00,2025-02-24 19:00:00,False
21801.25,2025-02-24 18:00:00,2025-02-24 19:00:00,False
21683.5,2025-02-24 16:00:00,2025-02-24 20:00:00,False
21744.5,2025-02-24 19:00:00,2025-02-24 20:00:00,False
21445.0,2025-02-27 06:00:00,2025-02-27 14:00:00,False
21456.0,2025-02-27 08:00:00,2025-02-27 14:00:00,False
21474.75,2025-02-27 13:00:00,2025-02-27 14:00:00,False
21201.25,2025-03-03 11:00:00,2025-03-03 14:00:00,False
21237.25,2025-03-03 12:00:00,2025-03-03 14:00:00,False
21240.25,2025-03-03 13:00:00,2025-03-03 14:00:00,False
21028.0,2025-03-03 17:00:00,2025-03-03 18:00:00,False
20764.25,2025-03-05 19:00:00,2025-03-06 07:00:00,False
20783.5,2025-03-05 21:00:00,2025-03-06 07:00:00,False
20787.75,2025-03-06 00:00:00,2025-03-06 07:00:00,False
20789.5,2025-03-06 01:00:00,2025-03-06 07:00:00,False
20796.0,2025-03-06 02:00:00,2025-03-06 07:00:00,False
20798.25,2025-03-06 03:00:00,2025-03-06 07:00:00,False
20802.5,2025-03-06 06:00:00,2025-03-06 07:00:00,False
20737.5,2025-03-06 07:00:00,2025-03-06 08:00:00,False
20504.0,2025-03-25 22:00:00,2025-03-26 02:00:00,False
20505.0,2025-03-26 01:00:00,2025-03-26 02:00:00,False
20361.75,2025-03-25 13:00:00,2025-03-26 13:00:00,False
20370.75,2025-03-25 14:00:00,2025-03-26 13:00:00,False
20402.0,2025-03-25 17:00:00,2025-03-26 13:00:00,False
20402.75,2025-03-25 18:00:00,2025-03-26 13:00:00,False
20425.0,2025-03-25 19:00:00,2025-03-26 13:00:00,False
20429.5,2025-03-26 10:00:00,2025-03-26 13:00:00,False
20450.0,2025-03-26 12:00:00,2025-03-26 13:00:00,False
20227.0,2025-03-26 14:00:00,2025-03-26 15:00:00,False
19491.25,2025-04-02 14:00:00,2025-04-02 20:00:00,False
