es_price                       , es_formation_time  , es_breakout_time   , es_retest_time     , es_type, es_status, es_m5_retest_time  , es_m5_open, es_m5_high, es_m5_low, es_m5_close, nq_price, nq_formation_time  , nq_breakout_time   , nq_retest_time     , nq_type, nq_status, nq_m5_retest_time  , nq_m5_open, nq_m5_high, nq_m5_low, nq_m5_close, time_diff_minutes
5958.5                         , 2024-10-31 02:00:00, 2024-11-06 00:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:05:00,    5974.0 ,    5974.0 ,   5958.0 ,     5962.5 , 21521.0 , 2024-11-27 02:00:00, 2024-12-02 13:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:00:00,   21701.75,   21721.5 ,  21517.0 ,    21575.0 ,               5.0
5958.5                         , 2024-10-31 02:00:00, 2024-11-06 00:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:05:00,    5974.0 ,    5974.0 ,   5958.0 ,     5962.5 , 21519.5 , 2024-11-29 17:00:00, 2024-12-02 13:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:00:00,   21701.75,   21721.5 ,  21517.0 ,    21575.0 ,               5.0
5958.5                         , 2024-10-31 02:00:00, 2024-11-06 00:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:05:00,    5974.0 ,    5974.0 ,   5958.0 ,     5962.5 , 21622.75, 2024-11-14 18:00:00, 2024-12-02 14:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:00:00,   21701.75,   21721.5 ,  21517.0 ,    21575.0 ,               5.0
5958.5                         , 2024-10-31 02:00:00, 2024-11-06 00:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:05:00,    5974.0 ,    5974.0 ,   5958.0 ,     5962.5 , 21592.25, 2024-11-14 19:00:00, 2024-12-02 14:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:00:00,   21701.75,   21721.5 ,  21517.0 ,    21575.0 ,               5.0
5958.5                         , 2024-10-31 02:00:00, 2024-11-06 00:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:05:00,    5974.0 ,    5974.0 ,   5958.0 ,     5962.5 , 21583.0 , 2024-11-25 14:00:00, 2024-12-02 14:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:00:00,   21701.75,   21721.5 ,  21517.0 ,    21575.0 ,               5.0
5958.5                         , 2024-10-31 02:00:00, 2024-11-06 00:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:05:00,    5974.0 ,    5974.0 ,   5958.0 ,     5962.5 , 21538.75, 2024-12-02 13:00:00, 2024-12-02 14:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:00:00,   21701.75,   21721.5 ,  21517.0 ,    21575.0 ,               5.0
5979.25                        , 2024-11-06 01:00:00, 2024-11-06 02:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:00:00,    5990.75,    5995.5 ,   5963.0 ,     5973.75, 21521.0 , 2024-11-27 02:00:00, 2024-12-02 13:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:00:00,   21701.75,   21721.5 ,  21517.0 ,    21575.0 ,               0.0
5979.25                        , 2024-11-06 01:00:00, 2024-11-06 02:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:00:00,    5990.75,    5995.5 ,   5963.0 ,     5973.75, 21519.5 , 2024-11-29 17:00:00, 2024-12-02 13:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:00:00,   21701.75,   21721.5 ,  21517.0 ,    21575.0 ,               0.0
5979.25                        , 2024-11-06 01:00:00, 2024-11-06 02:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:00:00,    5990.75,    5995.5 ,   5963.0 ,     5973.75, 21622.75, 2024-11-14 18:00:00, 2024-12-02 14:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:00:00,   21701.75,   21721.5 ,  21517.0 ,    21575.0 ,               0.0
5979.25                        , 2024-11-06 01:00:00, 2024-11-06 02:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:00:00,    5990.75,    5995.5 ,   5963.0 ,     5973.75, 21592.25, 2024-11-14 19:00:00, 2024-12-02 14:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:00:00,   21701.75,   21721.5 ,  21517.0 ,    21575.0 ,               0.0
5979.25                        , 2024-11-06 01:00:00, 2024-11-06 02:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:00:00,    5990.75,    5995.5 ,   5963.0 ,     5973.75, 21583.0 , 2024-11-25 14:00:00, 2024-12-02 14:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:00:00,   21701.75,   21721.5 ,  21517.0 ,    21575.0 ,               0.0
5979.25                        , 2024-11-06 01:00:00, 2024-11-06 02:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:00:00,    5990.75,    5995.5 ,   5963.0 ,     5973.75, 21538.75, 2024-12-02 13:00:00, 2024-12-02 14:00:00, 2024-12-18 21:00:00, LHPB   , retested , 2024-12-18 21:00:00,   21701.75,   21721.5 ,  21517.0 ,    21575.0 ,               0.0
6082.0                         , 2024-11-22 10:00:00, 2024-11-22 11:00:00, 2024-12-18 20:00:00, LHPB   , retested , 2024-12-18 20:00:00,    6094.75,    6099.5 ,   6080.25,     6081.0 , 22018.0 , 2024-12-10 16:00:00, 2024-12-11 13:00:00, 2024-12-18 20:00:00, LHPB   , retested , 2024-12-18 20:00:00,   22121.0 ,   22141.75,  22016.75,    22022.0 ,               0.0
6082.0                         , 2024-11-22 10:00:00, 2024-11-22 11:00:00, 2024-12-18 20:00:00, LHPB   , retested , 2024-12-18 20:00:00,    6094.75,    6099.5 ,   6080.25,     6081.0 , 22038.0 , 2024-12-11 13:00:00, 2024-12-11 14:00:00, 2024-12-18 20:00:00, LHPB   , retested , 2024-12-18 20:00:00,   22121.0 ,   22141.75,  22016.75,    22022.0 ,               0.0
