0,1,2,3
4071.25,2022-10-13 13:00:00,2022-10-13 14:00:00,True
4093.5,2022-10-13 14:00:00,2022-10-13 15:00:00,True
4126.75,2022-10-14 20:00:00,2022-10-16 22:00:00,True
4141.5,2022-10-17 03:00:00,2022-10-17 05:00:00,True
4140.0,2022-10-17 04:00:00,2022-10-17 05:00:00,True
4190.25,2022-10-21 11:00:00,2022-10-21 13:00:00,True
4183.0,2022-10-21 12:00:00,2022-10-21 13:00:00,True
4262.0,2022-11-04 17:00:00,2022-11-04 18:00:00,True
4382.5,2023-03-20 07:00:00,2023-03-20 08:00:00,True
4391.0,2023-03-20 08:00:00,2023-03-20 09:00:00,True
4459.75,2023-03-28 17:00:00,2023-03-28 19:00:00,True
4454.25,2023-03-28 18:00:00,2023-03-28 19:00:00,True
4462.25,2023-03-28 19:00:00,2023-03-28 20:00:00,True
4470.0,2023-03-28 11:00:00,2023-03-28 23:00:00,True
4469.75,2023-03-28 14:00:00,2023-03-28 23:00:00,True
4469.0,2023-03-28 22:00:00,2023-03-28 23:00:00,True
4472.5,2023-03-28 08:00:00,2023-03-29 00:00:00,True
4472.0,2023-03-28 23:00:00,2023-03-29 00:00:00,True
4478.75,2023-03-29 01:00:00,2023-03-29 04:00:00,True
4478.5,2023-03-29 03:00:00,2023-03-29 04:00:00,True
4484.0,2023-03-28 07:00:00,2023-03-29 05:00:00,True
4481.5,2023-03-29 04:00:00,2023-03-29 05:00:00,True
4568.25,2023-11-01 09:00:00,2023-11-01 12:00:00,True
4565.0,2023-11-01 11:00:00,2023-11-01 12:00:00,True
4583.0,2023-11-01 12:00:00,2023-11-01 13:00:00,True
4602.5,2023-11-01 16:00:00,2023-11-01 18:00:00,True
4599.25,2023-11-01 17:00:00,2023-11-01 18:00:00,True
4614.25,2023-10-25 15:00:00,2023-11-01 19:00:00,True
4614.0,2023-11-01 14:00:00,2023-11-01 19:00:00,True
4613.0,2023-11-01 18:00:00,2023-11-01 19:00:00,True
4626.75,2023-11-01 22:00:00,2023-11-01 23:00:00,True
4639.0,2023-10-24 22:00:00,2023-11-02 08:00:00,True
4635.5,2023-11-02 01:00:00,2023-11-02 08:00:00,True
4634.25,2023-11-02 02:00:00,2023-11-02 08:00:00,True
4633.5,2023-11-02 03:00:00,2023-11-02 08:00:00,True
4656.0,2023-10-24 20:00:00,2023-11-02 12:00:00,True
4647.75,2023-11-02 11:00:00,2023-11-02 12:00:00,True
4674.25,2023-11-02 13:00:00,2023-11-02 14:00:00,True
4689.5,2023-11-02 16:00:00,2023-11-02 17:00:00,True
4705.25,2023-11-02 20:00:00,2023-11-03 12:00:00,True
4700.5,2023-11-03 06:00:00,2023-11-03 12:00:00,True
4699.5,2023-11-03 07:00:00,2023-11-03 12:00:00,True
