trade_key,time,open,high,low,close
0000_20260807120000,2026-08-07 12:39:00+00:00,-1.999001e+37,7776.25,7775.25,7775.75
0000_20260807120000,2026-08-07 12:40:00+00:00,-1.999001e+37,7776.0,7773.0,7775.0
0000_20260807120000,2026-08-07 12:41:00+00:00,0.0,7776.5,7772.5,7774.5
0000_20260807120000,2026-08-07 12:42:00+00:00,0.0,7776.0,7773.0,7775.5
0000_20260807120000,2026-08-07 12:43:00+00:00,-1.999001e+37,7776.5,7774.25,7774.75
0000_20260807120000,2026-08-07 12:44:00+00:00,-1.999001e+37,7775.0,7771.5,7772.25
0000_20260807120000,2026-08-07 12:45:00+00:00,0.0,7775.25,7772.0,7775.0
0000_20260807120000,2026-08-07 12:46:00+00:00,0.0,7776.5,7774.5,7776.25
0000_20260807120000,2026-08-07 12:47:00+00:00,0.0,7776.5,7773.75,7774.25
0000_20260807120000,2026-08-07 12:48:00+00:00,0.0,7775.75,7773.0,7774.5
0000_20260807120000,2026-08-07 12:49:00+00:00,0.0,7776.25,7774.25,7775.75
0000_20260807120000,2026-08-07 12:50:00+00:00,-1.999001e+37,7778.0,7774.75,7777.0
0000_20260807120000,2026-08-07 12:51:00+00:00,0.0,7778.0,7776.25,7777.75
0000_20260807120000,2026-08-07 12:52:00+00:00,0.0,7778.25,7776.5,7778.0
0000_20260807120000,2026-08-07 12:53:00+00:00,-1.999001e+37,7778.5,7776.5,7777.5
0000_20260807120000,2026-08-07 12:54:00+00:00,0.0,7779.0,7777.0,7777.75
0000_20260807120000,2026-08-07 12:55:00+00:00,0.0,7777.75,7775.25,7776.25
0000_20260807120000,2026-08-07 12:56:00+00:00,-1.999001e+37,7776.75,7775.0,7775.5
0000_20260807120000,2026-08-07 12:57:00+00:00,0.0,7776.25,7775.0,7775.5
0000_20260807120000,2026-08-07 12:58:00+00:00,-1.999001e+37,7775.75,7774.0,7774.75
0000_20260807120000,2026-08-07 12:59:00+00:00,-1.999001e+37,7775.25,7774.0,7774.75
0000_20260807120000,2026-08-07 13:00:00+00:00,0.0,7776.25,7772.5,7772.75
0000_20260807120000,2026-08-07 13:01:00+00:00,0.0,7772.75,7769.0,7770.5
0000_20260807120000,2026-08-07 13:02:00+00:00,0.0,7772.0,7769.75,7771.25
0000_20260807120000,2026-08-07 13:03:00+00:00,-1.999001e+37,7772.25,7770.0,7770.25
0000_20260807120000,2026-08-07 13:04:00+00:00,-1.999001e+37,7770.25,7766.75,7766.75
0000_20260807120000,2026-08-07 13:05:00+00:00,0.0,7769.0,7766.5,7768.25
0000_20260807120000,2026-08-07 13:06:00+00:00,0.0,7769.75,7767.5,7769.5
0000_20260807120000,2026-08-07 13:07:00+00:00,-1.999001e+37,7769.75,7765.0,7765.75
0000_20260807120000,2026-08-07 13:08:00+00:00,-1.999001e+37,7765.75,7764.25,7764.5
0000_20260807120000,2026-08-07 13:09:00+00:00,0.0,7765.75,7763.25,7765.5
0000_20260807120000,2026-08-07 13:10:00+00:00,0.0,7766.25,7764.25,7765.0
0000_20260807120000,2026-08-07 13:11:00+00:00,0.0,7765.25,7761.5,7762.0
0000_20260807120000,2026-08-07 13:12:00+00:00,0.0,7762.5,7760.0,7760.25
0000_20260807120000,2026-08-07 13:13:00+00:00,0.0,7762.0,7760.0,7761.5
0000_20260807120000,2026-08-07 13:14:00+00:00,0.0,7761.75,7760.0,7761.5
0000_20260807120000,2026-08-07 13:15:00+00:00,-1.999001e+37,7762.0,7759.25,7760.25
0000_20260807120000,2026-08-07 13:16:00+00:00,0.0,7760.5,7757.5,7758.75
0000_20260807120000,2026-08-07 13:17:00+00:00,0.0,7762.5,7758.25,7761.5
0000_20260807120000,2026-08-07 13:18:00+00:00,-1.999001e+37,7761.75,7758.0,7759.0
0000_20260807120000,2026-08-07 13:19:00+00:00,-1.999001e+37,7761.0,7758.0,7760.75
0000_20260807120000,2026-08-07 13:20:00+00:00,0.0,7761.5,7759.75,7760.5
0000_20260807120000,2026-08-07 13:21:00+00:00,0.0,7761.5,7760.0,7761.25
0000_20260807120000,2026-08-07 13:22:00+00:00,-1.999001e+37,7761.75,7760.25,7760.75
0000_20260807120000,2026-08-07 13:23:00+00:00,-1.999001e+37,7761.25,7760.0,7760.25
0000_20260807120000,2026-08-07 13:24:00+00:00,0.0,7761.25,7759.75,7760.75
0000_20260807120000,2026-08-07 13:25:00+00:00,0.0,7762.0,7758.0,7758.75
0000_20260807120000,2026-08-07 13:26:00+00:00,-1.999001e+37,7759.75,7758.25,7759.5
