D1_Level,H1_Level,Distance_to_D1,H1_Is_Spike,H1_Is_Swing,Entry_Type,Type,Direction,Entry_Time,Exit_Time,Entry_Price,Exit_Price,Stop_Price,Target_Price,PnL,Outcome,MAE,MFE,Max_Drawdown,Formation_Time,Breakout_Time,Associated_D1_Levels
4098.5,4097.0,1.5,False,True,Swing,LLPB,SHORT,2022-10-03 00:55:00,2022-10-03 01:00:00,4097.0,4102.0,4102.0,4087.0,-5.0,STOP,5.0,0.0,0.5,2022-10-03 00:00:00,2022-10-13 12:00:00,4
4204.25,4212.5,8.25,True,False,Spike,LLPB,SHORT,2022-10-19 18:00:00,2022-10-19 18:05:00,4212.5,4217.5,4217.5,4202.5,-5.0,STOP,5.0,0.0,0.0,2022-10-19 18:00:00,2022-10-20 00:00:00,7
4153.5,4147.25,6.25,True,True,Spike,LLPB,SHORT,2022-09-29 18:20:00,2022-09-29 18:25:00,4147.25,4152.25,4152.25,4137.25,-5.0,STOP,5.0,0.0,2.5,2022-09-29 18:00:00,2022-09-30 18:00:00,7
4198.5,4189.75,8.75,True,False,Spike,LLPB,SHORT,2022-06-17 15:00:00,2022-06-17 15:05:00,4189.75,4194.75,4194.75,4179.75,-5.0,STOP,5.0,0.0,0.0,2022-06-17 15:00:00,2022-09-23 18:00:00,10
4181.0,4172.0,9.0,True,False,Spike,LHPB,LONG,2022-10-11 17:10:00,2022-10-11 17:15:00,4172.0,4167.0,4167.0,4182.0,-5.0,STOP,5.0,0.0,3.0,2022-10-11 17:00:00,2022-10-13 15:00:00,8
4178.5,4172.0,6.5,True,False,Spike,LHPB,LONG,2022-10-11 17:10:00,2022-10-11 17:15:00,4172.0,4167.0,4167.0,4182.0,-5.0,STOP,5.0,0.0,3.0,2022-10-11 17:00:00,2022-10-13 15:00:00,8
4250.25,4243.0,7.25,True,False,Spike,LHPB,LONG,2022-09-27 14:45:00,2022-09-27 14:50:00,4243.0,4238.0,4238.0,4253.0,-5.0,STOP,5.0,0.0,4.25,2022-09-27 14:00:00,2022-09-28 16:00:00,6
4217.0,4212.5,4.5,True,False,Spike,LLPB,SHORT,2022-10-19 18:00:00,2022-10-19 18:05:00,4212.5,4217.5,4217.5,4202.5,-5.0,STOP,5.0,0.0,0.0,2022-10-19 18:00:00,2022-10-20 00:00:00,7
4255.5,4259.75,4.25,True,False,Spike,LLPB,SHORT,2022-10-18 10:10:00,2022-10-18 10:15:00,4259.75,4264.75,4264.75,4249.75,-5.0,STOP,5.0,0.0,0.75,2022-10-18 10:00:00,2022-10-18 14:00:00,10
4217.5,4212.5,5.0,True,False,Spike,LLPB,SHORT,2022-10-19 18:00:00,2022-10-19 18:05:00,4212.5,4217.5,4217.5,4202.5,-5.0,STOP,5.0,0.0,0.0,2022-10-19 18:00:00,2022-10-20 00:00:00,7
4275.75,4281.0,5.25,True,False,Spike,LHPB,LONG,2022-10-18 07:55:00,2022-10-18 08:00:00,4281.0,4276.0,4276.0,4291.0,-5.0,STOP,5.0,0.0,3.5,2022-10-18 07:00:00,2022-10-18 11:00:00,11
4155.0,4147.25,7.75,True,True,Spike,LLPB,SHORT,2022-09-29 18:20:00,2022-09-29 18:25:00,4147.25,4152.25,4152.25,4137.25,-5.0,STOP,5.0,0.0,2.5,2022-09-29 18:00:00,2022-09-30 18:00:00,7
