trade_key,time,open,high,low,close
0000_20260707030000,2026-07-07 03:30:00+00:00,0.0,7575.75,7573.25,7575.25
0000_20260707030000,2026-07-07 03:31:00+00:00,-1.999001e+37,7576.25,7574.75,7575.25
0000_20260707030000,2026-07-07 03:32:00+00:00,0.0,7576.5,7575.25,7575.5
0000_20260707030000,2026-07-07 03:33:00+00:00,0.0,7576.5,7574.75,7575.25
0000_20260707030000,2026-07-07 03:34:00+00:00,0.0,7576.0,7574.0,7575.25
0000_20260707030000,2026-07-07 03:35:00+00:00,0.0,7576.5,7575.0,7575.5
0000_20260707030000,2026-07-07 03:36:00+00:00,0.0,7576.0,7574.75,7575.0
0000_20260707030000,2026-07-07 03:37:00+00:00,0.0,7577.25,7574.75,7576.75
0000_20260707030000,2026-07-07 03:38:00+00:00,0.0,7577.25,7576.25,7576.5
0000_20260707030000,2026-07-07 03:39:00+00:00,-1.999001e+37,7577.0,7575.75,7576.0
0000_20260707030000,2026-07-07 03:40:00+00:00,0.0,7576.25,7575.0,7575.75
0000_20260707030000,2026-07-07 03:41:00+00:00,0.0,7575.75,7574.75,7575.25
0000_20260707030000,2026-07-07 03:42:00+00:00,0.0,7576.0,7574.5,7575.5
0000_20260707030000,2026-07-07 03:43:00+00:00,0.0,7575.5,7574.25,7574.75
0000_20260707030000,2026-07-07 03:44:00+00:00,0.0,7575.0,7574.25,7574.5
0000_20260707030000,2026-07-07 03:45:00+00:00,-1.999001e+37,7574.75,7572.5,7572.75
0000_20260707030000,2026-07-07 03:46:00+00:00,0.0,7573.25,7571.25,7573.0
0000_20260707030000,2026-07-07 03:47:00+00:00,-1.999001e+37,7573.5,7572.0,7572.75
0000_20260707030000,2026-07-07 03:48:00+00:00,-1.999001e+37,7573.25,7571.25,7571.5
0000_20260707030000,2026-07-07 03:49:00+00:00,-1.999001e+37,7572.75,7571.0,7572.25
0000_20260707030000,2026-07-07 03:50:00+00:00,0.0,7573.0,7572.0,7572.5
0000_20260707030000,2026-07-07 03:51:00+00:00,-1.999001e+37,7573.0,7571.25,7571.5
0000_20260707030000,2026-07-07 03:52:00+00:00,-1.999001e+37,7572.25,7571.0,7571.5
0000_20260707030000,2026-07-07 03:53:00+00:00,0.0,7572.5,7571.5,7571.5
0000_20260707030000,2026-07-07 03:54:00+00:00,-1.999001e+37,7571.75,7570.5,7571.5
0000_20260707030000,2026-07-07 03:55:00+00:00,0.0,7572.0,7570.5,7571.75
0000_20260707030000,2026-07-07 03:56:00+00:00,-1.999001e+37,7573.0,7571.5,7572.75
0000_20260707030000,2026-07-07 03:57:00+00:00,0.0,7573.75,7572.0,7573.75
0000_20260707030000,2026-07-07 03:58:00+00:00,0.0,7573.75,7572.5,7573.25
0000_20260707030000,2026-07-07 03:59:00+00:00,0.0,7574.75,7573.0,7574.0
0000_20260707030000,2026-07-07 04:00:00+00:00,0.0,7575.0,7573.5,7573.75
0000_20260707030000,2026-07-07 04:01:00+00:00,-1.999001e+37,7574.25,7572.25,7572.75
0000_20260707030000,2026-07-07 04:02:00+00:00,-1.999001e+37,7573.5,7572.0,7573.25
0000_20260707030000,2026-07-07 04:03:00+00:00,0.0,7574.25,7572.75,7573.75
0000_20260707030000,2026-07-07 04:04:00+00:00,0.0,7574.0,7572.5,7573.75
0000_20260707030000,2026-07-07 04:05:00+00:00,-1.999001e+37,7574.75,7573.0,7574.75
0000_20260707030000,2026-07-07 04:06:00+00:00,0.0,7575.0,7573.25,7573.5
0000_20260707030000,2026-07-07 04:07:00+00:00,0.0,7574.25,7573.0,7573.5
0000_20260707030000,2026-07-07 04:08:00+00:00,0.0,7574.25,7573.0,7574.0
0000_20260707030000,2026-07-07 04:09:00+00:00,0.0,7574.5,7573.25,7573.75
0000_20260707030000,2026-07-07 04:10:00+00:00,0.0,7574.25,7573.25,7573.75
0000_20260707030000,2026-07-07 04:11:00+00:00,-1.999001e+37,7574.0,7573.25,7573.75
0000_20260707030000,2026-07-07 04:12:00+00:00,0.0,7573.75,7572.25,7573.25
0000_20260707030000,2026-07-07 04:13:00+00:00,0.0,7573.75,7572.0,7572.25
0000_20260707030000,2026-07-07 04:14:00+00:00,-1.999001e+37,7573.25,7571.5,7571.75
0000_20260707030000,2026-07-07 04:15:00+00:00,-1.999001e+37,7572.5,7571.5,7571.75
0000_20260707030000,2026-07-07 04:16:00+00:00,0.0,7572.0,7571.0,7571.0
0000_20260707030000,2026-07-07 04:17:00+00:00,-1.999001e+37,7571.25,7570.0,7570.5
0000_20260707030000,2026-07-07 04:18:00+00:00,-1.999001e+37,7571.0,7570.25,7570.75
0000_20260707030000,2026-07-07 04:19:00+00:00,-1.999001e+37,7571.0,7569.5,7570.75
0000_20260707030000,2026-07-07 04:20:00+00:00,-1.999001e+37,7571.25,7570.25,7570.5
0000_20260707030000,2026-07-07 04:21:00+00:00,-1.999001e+37,7570.75,7569.75,7570.5
0000_20260707030000,2026-07-07 04:22:00+00:00,-1.999001e+37,7571.0,7569.25,7569.75
0000_20260707030000,2026-07-07 04:23:00+00:00,0.0,7570.5,7569.5,7569.75
0000_20260707030000,2026-07-07 04:24:00+00:00,-1.999001e+37,7570.25,7569.5,7569.75
0000_20260707030000,2026-07-07 04:25:00+00:00,-1.999001e+37,7570.25,7569.25,7569.5
0000_20260707030000,2026-07-07 04:26:00+00:00,-1.999001e+37,7571.25,7569.25,7571.0
0000_20260707030000,2026-07-07 04:27:00+00:00,-1.999001e+37,7571.0,7570.0,7570.75
0000_20260707030000,2026-07-07 04:28:00+00:00,0.0,7571.5,7570.0,7570.5
0000_20260707030000,2026-07-07 04:29:00+00:00,0.0,7571.5,7570.25,7571.25
0000_20260707030000,2026-07-07 04:30:00+00:00,0.0,7571.75,7570.75,7571.25
0000_20260707030000,2026-07-07 04:31:00+00:00,0.0,7573.25,7571.5,7572.25
0000_20260707030000,2026-07-07 04:32:00+00:00,0.0,7572.25,7571.25,7571.25
0000_20260707030000,2026-07-07 04:33:00+00:00,0.0,7572.25,7571.0,7571.5
0000_20260707030000,2026-07-07 04:34:00+00:00,0.0,7572.0,7570.5,7571.0
0000_20260707030000,2026-07-07 04:35:00+00:00,0.0,7571.25,7570.0,7570.25
0000_20260707030000,2026-07-07 04:36:00+00:00,-1.999001e+37,7570.5,7568.75,7569.25
0000_20260707030000,2026-07-07 04:37:00+00:00,0.0,7569.25,7567.5,7568.5
0000_20260707030000,2026-07-07 04:38:00+00:00,-1.999001e+37,7569.75,7567.75,7568.75
0000_20260707030000,2026-07-07 04:39:00+00:00,-1.999001e+37,7569.75,7568.5,7569.25
0000_20260707030000,2026-07-07 04:40:00+00:00,0.0,7569.75,7568.75,7569.5
0000_20260707030000,2026-07-07 04:41:00+00:00,0.0,7570.25,7569.0,7569.5
0000_20260707030000,2026-07-07 04:42:00+00:00,0.0,7569.75,7569.0,7569.25
0000_20260707030000,2026-07-07 04:43:00+00:00,0.0,7570.0,7569.0,7569.25
0000_20260707030000,2026-07-07 04:44:00+00:00,0.0,7569.25,7568.5,7568.75
0000_20260707030000,2026-07-07 04:45:00+00:00,0.0,7569.5,7568.75,7569.0
0000_20260707030000,2026-07-07 04:46:00+00:00,0.0,7569.25,7568.5,7568.75
0000_20260707030000,2026-07-07 04:47:00+00:00,0.0,7569.0,7567.75,7568.0
0000_20260707030000,2026-07-07 04:48:00+00:00,0.0,7568.5,7567.75,7568.0
0000_20260707030000,2026-07-07 04:49:00+00:00,0.0,7568.75,7567.5,7568.0
0000_20260707030000,2026-07-07 04:50:00+00:00,0.0,7568.25,7567.25,7568.0
0000_20260707030000,2026-07-07 04:51:00+00:00,0.0,7569.25,7567.75,7569.0
0000_20260707030000,2026-07-07 04:52:00+00:00,-1.999001e+37,7569.0,7568.25,7568.5
0000_20260707030000,2026-07-07 04:53:00+00:00,0.0,7568.5,7568.0,7568.0
0000_20260707030000,2026-07-07 04:54:00+00:00,0.0,7568.25,7567.25,7567.75
0000_20260707030000,2026-07-07 04:55:00+00:00,0.0,7568.0,7567.0,7567.5
0000_20260707030000,2026-07-07 04:56:00+00:00,-1.999001e+37,7567.5,7566.5,7567.25
0000_20260707030000,2026-07-07 04:57:00+00:00,0.0,7567.5,7566.5,7567.25
0000_20260707030000,2026-07-07 04:58:00+00:00,0.0,7568.75,7567.25,7568.25
0000_20260707030000,2026-07-07 04:59:00+00:00,0.0,7569.0,7568.0,7568.5
0000_20260707030000,2026-07-07 05:00:00+00:00,0.0,7568.75,7568.0,7568.25
0000_20260707030000,2026-07-07 05:01:00+00:00,-1.999001e+37,7568.25,7567.0,7567.25
0000_20260707030000,2026-07-07 05:02:00+00:00,0.0,7567.5,7566.5,7566.75
0000_20260707030000,2026-07-07 05:03:00+00:00,-1.999001e+37,7567.75,7566.5,7567.25
0000_20260707030000,2026-07-07 05:04:00+00:00,-1.999001e+37,7567.5,7566.5,7567.0
0000_20260707030000,2026-07-07 05:05:00+00:00,-1.999001e+37,7567.25,7566.5,7566.75
0000_20260707030000,2026-07-07 05:06:00+00:00,-1.999001e+37,7568.0,7566.25,7567.25
0000_20260707030000,2026-07-07 05:07:00+00:00,-1.999001e+37,7567.25,7566.25,7566.5
0000_20260707030000,2026-07-07 05:08:00+00:00,-1.999001e+37,7567.25,7566.25,7567.0
0000_20260707030000,2026-07-07 05:09:00+00:00,-1.999001e+37,7567.0,7564.75,7565.5
0000_20260707030000,2026-07-07 05:10:00+00:00,0.0,7566.0,7565.25,7565.5
0000_20260707030000,2026-07-07 05:11:00+00:00,0.0,7566.0,7565.0,7565.75
0000_20260707030000,2026-07-07 05:12:00+00:00,0.0,7566.25,7565.0,7566.0
0000_20260707030000,2026-07-07 05:13:00+00:00,0.0,7566.75,7565.25,7565.75
0000_20260707030000,2026-07-07 05:14:00+00:00,-1.999001e+37,7566.0,7564.75,7565.25
0000_20260707030000,2026-07-07 05:15:00+00:00,-1.999001e+37,7565.75,7564.5,7564.75
0000_20260707030000,2026-07-07 05:16:00+00:00,-1.999001e+37,7565.75,7564.5,7565.5
0000_20260707030000,2026-07-07 05:17:00+00:00,0.0,7566.5,7565.25,7565.75
0000_20260707030000,2026-07-07 05:18:00+00:00,0.0,7566.0,7564.75,7565.25
0000_20260707030000,2026-07-07 05:19:00+00:00,-1.999001e+37,7565.75,7564.25,7564.75
0000_20260707030000,2026-07-07 05:20:00+00:00,0.0,7565.5,7564.0,7564.5
0000_20260707030000,2026-07-07 05:21:00+00:00,-1.999001e+37,7565.0,7564.0,7564.5
0000_20260707030000,2026-07-07 05:22:00+00:00,-1.999001e+37,7566.25,7564.25,7565.75
0000_20260707030000,2026-07-07 05:23:00+00:00,-1.999001e+37,7566.75,7565.5,7565.75
0000_20260707030000,2026-07-07 05:24:00+00:00,-1.999001e+37,7566.25,7565.25,7565.5
0000_20260707030000,2026-07-07 05:25:00+00:00,-1.999001e+37,7565.75,7563.5,7564.75
0000_20260707030000,2026-07-07 05:26:00+00:00,-1.999001e+37,7565.5,7564.25,7565.0
0000_20260707030000,2026-07-07 05:27:00+00:00,-1.999001e+37,7565.0,7563.0,7563.25
0000_20260707030000,2026-07-07 05:28:00+00:00,-1.999001e+37,7564.5,7563.0,7564.25
0000_20260707030000,2026-07-07 05:29:00+00:00,0.0,7566.25,7564.0,7566.0
0000_20260707030000,2026-07-07 05:30:00+00:00,0.0,7567.5,7565.75,7567.25
0000_20260707030000,2026-07-07 05:31:00+00:00,0.0,7569.5,7567.0,7569.25
0000_20260707030000,2026-07-07 05:32:00+00:00,-1.999001e+37,7571.0,7569.0,7570.5
0000_20260707030000,2026-07-07 05:33:00+00:00,-1.999001e+37,7570.5,7567.75,7568.5
0000_20260707030000,2026-07-07 05:34:00+00:00,-1.999001e+37,7569.75,7568.0,7569.25
0000_20260707030000,2026-07-07 05:35:00+00:00,0.0,7570.25,7568.5,7570.0
0000_20260707030000,2026-07-07 05:36:00+00:00,0.0,7570.5,7569.0,7570.0
0000_20260707030000,2026-07-07 05:37:00+00:00,0.0,7571.25,7569.75,7570.25
0000_20260707030000,2026-07-07 05:38:00+00:00,-1.999001e+37,7571.0,7569.5,7570.25
0000_20260707030000,2026-07-07 05:39:00+00:00,0.0,7571.0,7569.25,7570.5
0000_20260707030000,2026-07-07 05:40:00+00:00,0.0,7571.5,7570.0,7571.5
0000_20260707030000,2026-07-07 05:41:00+00:00,0.0,7572.5,7570.75,7571.0
0000_20260707030000,2026-07-07 05:42:00+00:00,0.0,7572.25,7570.25,7571.75
0000_20260707030000,2026-07-07 05:43:00+00:00,0.0,7571.75,7570.75,7571.0
